20170101;16;0;32
20170102;32;-1;67
20170103;57;16;74
20170104;59;24;76
20170105;3;-43;40
20170106;-25;-59;-2
20170107;7;-13;35
20170108;44;11;72
20170109;54;39;66
20170110;57;31;74
20170111;72;49;98
20170112;53;2;79
20170113;37;2;62
20170114;25;0;49
20170115;11;-33;36
20170116;-8;-50;33
20170117;-35;-67;4
20170118;-34;-62;-16
20170119;-14;-57;48
20170120;3;-51;48
20170121;4;-49;46
20170122;-16;-69;37
20170123;0;-63;32
20170124;13;-3;31
20170125;-9;-41;7
20170126;-25;-48;-1
20170127;8;-42;47
20170128;57;24;94
20170129;44;29;61
20170130;50;31;71
20170131;40;31;57
20170201;37;4;64
20170202;89;57;129
20170203;84;62;114
20170204;54;25;72
20170205;40;16;61
20170206;44;16;62
20170207;24;9;41
20170208;-1;-9;9
20170209;-14;-20;-8
20170210;-22;-40;-15
20170211;-4;-16;8
20170212;3;-13;20
20170213;16;-15;53
20170214;37;-3;89
20170215;68;11;129
20170216;62;30;95
20170217;69;51;82
20170218;43;17;88
20170219;64;20;101
20170220;91;73;110
20170221;91;71;106
20170222;89;73;101
20170223;77;41;105
20170224;44;-1;82
20170225;58;11;87
20170226;87;69;106
20170227;83;43;102
20170228;44;21;66
20170301;61;36;89
20170302;63;28;84
20170303;58;12;89
20170304;86;60;131
20170305;68;41;110
20170306;59;25;100
20170307;66;41;90
20170308;59;21;101
20170309;73;11;122
20170310;66;-5;116
20170311;77;25;125
20170312;89;44;152
20170313;63;5;123
20170314;81;33;136
20170315;89;43;135
20170316;99;28;165
20170317;81;65;105
20170318;91;76;115
20170319;113;95;136
20170320;103;82;113
20170321;71;29;95
20170322;71;12;128
20170323;82;19;132
20170324;86;48;132
20170325;87;39;135
20170326;81;54;115
20170327;104;24;179
20170328;117;34;199
20170329;124;105;144
20170330;157;96;215
20170331;138;80;219
20170401;101;58;138
20170402;100;50;158
20170403;91;52;132
20170404;99;45;166
20170405;90;54;123
20170406;80;48;117
20170407;106;76;147
20170408;102;50;153
20170409;127;45;203
20170410;92;39;132
20170411;98;38;135
20170412;99;70;115
20170413;87;43;124
20170414;99;42;134
20170415;93;53;116
20170416;77;47;108
20170417;67;27;112
20170418;64;17;110
20170419;51;3;94
20170420;75;0;121
20170421;108;74;137
20170422;78;40;114
20170423;71;28;114
20170424;92;60;124
20170425;60;29;99
20170426;57;-2;110
20170427;69;4;106
20170428;78;43;118
20170429;82;21;137
20170430;130;52;192
20170501;119;92;144
20170502;113;79;154
20170503;109;79;143
20170504;106;86;128
20170505;94;78;111
20170506;124;67;175
20170507;111;85;156
20170508;98;38;154
20170509;86;29;132
20170510;93;38;143
20170511;157;54;230
20170512;154;123;204
20170513;139;92;182
20170514;138;86;202
20170515;149;73;206
20170516;201;159;258
20170517;223;161;285
20170518;152;130;207
20170519;129;97;164
20170520;134;90;175
20170521;144;72;199
20170522;180;97;241
20170523;154;115;190
20170524;155;100;211
20170525;172;91;222
20170526;204;122;256
20170527;223;165;306
20170528;189;146;234
20170529;207;153;269
20170530;172;155;194
20170531;166;113;208
20170601;170;87;229
20170602;203;126;250
20170603;177;135;221
20170604;154;111;190
20170605;170;114;212
20170606;144;112;178
20170607;143;121;182
20170608;163;121;225
20170609;161;128;191
20170610;180;118;236
20170611;197;129;269
20170612;163;145;191
20170613;162;114;201
20170614;181;102;238
20170615;198;147;256
20170616;161;133;184
20170617;186;149;229
20170618;214;124;274
20170619;242;168;298
20170620;211;158;252
20170621;207;139;264
20170622;216;165;284
20170623;186;163;214
20170624;181;164;201
20170625;173;158;196
20170626;161;120;195
20170627;175;114;225
20170628;179;145;225
20170629;171;137;209
20170630;164;121;196
20170701;163;131;204
20170702;158;106;195
20170703;172;105;222
20170704;182;135;228
20170705;190;132;239
20170706;204;133;268
20170707;198;164;248
20170708;181;115;230
20170709;178;99;229
20170710;192;154;250
20170711;182;153;211
20170712;155;122;192
20170713;153;99;197
20170714;153;106;196
20170715;173;111;221
20170716;182;160;206
20170717;180;128;226
20170718;195;129;244
20170719;229;179;301
20170720;191;144;234
