Togo;Sub Saharan Africa;58.601;580.4950618
Trinidad and Tobago;Americas;70.116;18322.3238
Tunisia;Middle East and North Africa;74.644;4187.543531
Turkey;Middle East and North Africa;74.72;10646.03553
Turkmenistan;Post-communist;65.298;6797.721166
Uganda;Sub Saharan Africa;57.14;656.3980727
Ukraine;Post-communist;70.317;3855.42128
United Kingdom;Europe;80.392;41294.5148
United States of America;Americas;78.807;51456.65873
Uruguay;Americas;76.891;15127.64415
Uzbekistan;Post-communist;68.171;1719.036196
Vanuatu;Asia Pacific;71.341;3158.420974
Venezuela;Americas;73.885;12771.59504
Vietnam;Asia Pacific;75.477;1754.547974
Yemen;Middle East and North Africa;63.34;1289.034078
Zambia;Sub Saharan Africa;58.409;1686.618024
Zimbabwe;Sub Saharan Africa;53.673;850.827694
